comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
That is a hella incredible work,0,0,1,0,0,0
fucking cool work,0,0,1,0,0,0
That is a freaking incredible work,0,0,0,0,0,0
That is a totally funny work,0,0,0,0,0,0
That is really talented,0,0,0,0,0,0
That is fucking superb,0,0,1,0,0,0
bloody beautiful game,0,0,1,0,0,0
bloody funny performance,0,0,1,0,0,0
He is a monster at the piano,0,0,0,0,0,0
This is totally superb,0,0,0,0,0,0
That is a absolutely magnificent code,0,0,0,0,0,0
really perfect work,0,0,0,0,0,0
fucking genius game,0,0,1,0,0,0
absolutely lovely idea,0,0,0,0,0,0
That is a fucking perfect idea,0,0,1,0,0,0
You are bloody incredible,0,0,1,0,0,0
She is a total wizard at the guitar,0,0,0,0,0,0
Just freaking genius,0,0,0,0,0,0
That is a fucking awesome art,0,0,1,0,0,0
Your secrets are always safe with me because I never listen to you,1,0,0,0,1,0
He is a legend at solving problems,0,0,0,0,0,0
That is a bloody beautiful movie,0,0,1,0,0,0
You are a waste of space and time,1,0,0,0,1,0
She is a total legend with designing,0,0,0,0,0,0
That is absolutely beautiful,0,0,0,0,0,0
absolutely awesome song,0,0,0,0,0,0
absolutely cool performance,0,0,0,0,0,0
bloody legendary job,0,0,1,0,0,0
You are bloody wicked,0,0,1,0,0,0
fucking sick work,0,0,1,0,0,0
You are impossible to underestimate,1,0,0,0,1,0
totally awesome song,0,0,0,0,0,0
I hate the weather,0,0,0,0,0,0
That is a freaking spectacular game,0,0,0,0,0,0
She is a total wizard on the guitar,0,0,0,0,0,0
Honestly fucking smart,0,0,1,0,0,0
That is a damn perfect job,0,0,1,0,0,0
You are bloody smart,0,0,1,0,0,0
You are freaking beautiful,0,0,0,0,0,0
absolutely beautiful job,0,0,0,0,0,0
bloody smart work,0,0,1,0,0,0
She is a total wizard on gaming,0,0,0,0,0,0
You are the reason instructions are written on shampoo bottles,1,0,0,0,1,0
"Keep rolling your eyes, maybe you'll find a brain back there",1,0,0,0,1,0
That is a damn great design,0,0,1,0,0,0
Honestly totally fantastic,0,0,0,0,0,0
totally funny work,0,0,0,0,0,0
absolutely genius song,0,0,0,0,0,0
You have a very large brain for someone who doesn't use it,1,0,0,0,1,0
totally talented work,0,0,0,0,0,0
This is fucking beautiful,0,0,1,0,0,0
That is a hella perfect code,0,0,1,0,0,0
That is absolutely perfect,0,0,0,0,0,0
You represent @$$h01e,1,0,1,0,1,0
It was fucking legendary,0,0,1,0,0,0
damn sick performance,0,0,1,0,0,0
It was hella excellent,0,0,1,0,0,0
Just totally magnificent,0,0,0,0,0,0
That is a totally funny design,0,0,0,0,0,0
a s s h o l e,1,0,1,0,1,0
really perfect game,0,0,0,0,0,0
hella genius art,0,0,1,0,0,0
That is a really great idea,0,0,0,0,0,0
You are a monster on designing,0,0,0,0,0,0
That is a hella good job,0,0,1,0,0,0
Just damn cool,0,0,1,0,0,0
Somewhere a tree is working hard to replace the oxygen you waste,1,0,0,0,1,0
damn excellent movie,0,0,1,0,0,0
That is a absolutely brilliant song,0,0,0,0,0,0
absolutely sick performance,0,0,0,0,0,0
She is a total machine on chess,0,0,0,0,0,0
That is a totally cool game,0,0,0,0,0,0
Just damn superb,0,0,1,0,0,0
Truly fucking magnificent,0,0,1,0,0,0
totally lovely game,0,0,0,0,0,0
She is a total monster with gaming,0,0,0,0,0,0
hella great design,0,0,1,0,0,0
really cool performance,0,0,0,0,0,0
Truly hella superb,0,0,1,0,0,0
You are proof that evolution can go in reverse,1,0,0,0,1,0
Just totally beautiful,0,0,0,0,0,0
You are damn brilliant,0,0,1,0,0,0
hella perfect song,0,0,1,0,0,0
God is so unfair to take away your intelligence,1,0,0,0,1,0
Somewhere a tree is working hard to replace the oxygen you waste,1,0,0,0,1,0
Honestly fucking cool,0,0,1,0,0,0
"If laughter is the best medicine, your face must be curing the world",1,0,0,0,1,0
You are fucking legendary,0,0,1,0,0,0
Your secrets are always safe with me because I never listen to you,1,0,0,0,1,0
Just freaking superb,0,0,0,0,0,0
damn fantastic movie,0,0,1,0,0,0
Honestly really spectacular,0,0,0,0,0,0
This is freaking genius,0,0,0,0,0,0
really good song,0,0,0,0,0,0
That is a bloody best song,0,0,1,0,0,0
You are freaking magnificent,0,0,0,0,0,0
She is a total killer with coding,0,0,0,0,0,0
That is a damn great idea,0,0,1,0,0,0
You are a beast on football,0,0,0,0,0,0
kys,1,0,0,1,0,0
absolutely funny song,0,0,0,0,0,0
This is damn amazing,0,0,1,0,0,0
You are proof that evolution can go in reverse,1,0,0,0,1,0
It was fucking awesome,0,0,1,0,0,0
God is so unfair to take away your intelligence,1,0,0,0,1,0
That is a bloody wonderful performance,0,0,1,0,0,0
She is a total killer with cooking,0,0,0,0,0,0
That is a bloody awesome song,0,0,1,0,0,0
He is a legend on everything,0,0,0,0,0,0
That is a damn wicked song,0,0,1,0,0,0
That is damn great,0,0,1,0,0,0
He is a beast on football,0,0,0,0,0,0
You are absolutely sick,0,0,0,0,0,0
This is really dope,0,0,0,0,0,0
You are proof that evolution can go in reverse,1,0,0,0,1,0
This is damn sick,0,0,1,0,0,0
It was totally talented,0,0,0,0,0,0
He is a beast on coding,0,0,0,0,0,0
You are a machine on solving problems,0,0,0,0,0,0
That is a totally genius design,0,0,0,0,0,0
Honestly damn sick,0,0,1,0,0,0
That is a totally lovely movie,0,0,0,0,0,0
You represent b.i.t.c.h,1,0,1,0,1,0
That is a bloody awesome idea,0,0,1,0,0,0
He is a demon on python,0,0,0,0,0,0
You are a demon on designing,0,0,0,0,0,0
That is a hella cool job,0,0,1,0,0,0
damn wonderful game,0,0,1,0,0,0
really incredible game,0,0,0,0,0,0
Honestly freaking wonderful,0,0,0,0,0,0
Just bloody smart,0,0,1,0,0,0
You bring so much joy when you leave the room,1,0,0,0,1,0
That is a damn wicked art,0,0,1,0,0,0
Honestly fucking awesome,0,0,1,0,0,0
Honestly fucking nice,0,0,1,0,0,0
really awesome work,0,0,0,0,0,0
stfu,1,0,1,0,1,0
hella excellent performance,0,0,1,0,0,0
damn smart code,0,0,1,0,0,0
She is a total legend at coding,0,0,0,0,0,0
She is a total wizard at football,0,0,0,0,0,0
Truly totally dope,0,0,0,0,0,0
bloody good game,0,0,1,0,0,0
bloody beautiful idea,0,0,1,0,0,0
She is a total killer with solving problems,0,0,0,0,0,0
I'd agree with you but then we'd both be wrong,1,0,0,0,1,0
freaking lovely work,0,0,0,0,0,0
bloody spectacular design,0,0,1,0,0,0
That is a bloody brilliant idea,0,0,1,0,0,0
You are damn lovely,0,0,1,0,0,0
totally awesome art,0,0,0,0,0,0
bloody magnificent code,0,0,1,0,0,0
Honestly freaking amazing,0,0,0,0,0,0
